epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,533.706,0.40604,0.52874,0.97014,0.73901,0.78979,0.777,0.44615,1.42243,1.12808,2.14612,0.000338198,0.000338198,0.000338198
122,538.088,0.41497,0.53263,0.95735,0.85448,0.70955,0.76624,0.40116,1.59537,1.19375,2.38901,0.000334075,0.000334075,0.000334075
123,542.545,0.3993,0.54072,0.96034,0.7482,0.76255,0.74088,0.4011,1.57611,1.15099,2.34485,0.000329951,0.000329951,0.000329951
124,546.818,0.41759,0.5399,0.96605,0.75598,0.76508,0.7936,0.41822,1.58621,1.13926,2.35957,0.000325828,0.000325828,0.000325828
125,551.06,0.4161,0.52633,0.97158,0.82307,0.72444,0.79061,0.42829,1.49301,1.14048,2.2249,0.000321705,0.000321705,0.000321705
126,555.501,0.4006,0.53363,0.96686,0.79014,0.79519,0.79686,0.46098,1.3901,1.11994,2.0838,0.000317581,0.000317581,0.000317581
127,559.754,0.39876,0.50961,0.95969,0.79823,0.74675,0.80116,0.43995,1.44946,1.20119,2.18231,0.000313458,0.000313458,0.000313458
128,564.126,0.39639,0.4904,0.95971,0.79529,0.76002,0.78754,0.42442,1.52133,1.23751,2.3079,0.000309335,0.000309335,0.000309335
129,568.49,0.38662,0.50253,0.95637,0.8642,0.76221,0.82072,0.46477,1.50367,1.1662,2.29934,0.000305211,0.000305211,0.000305211
130,572.794,0.40166,0.51267,0.95956,0.79436,0.77257,0.80443,0.44011,1.48846,1.18173,2.32092,0.000301088,0.000301088,0.000301088
131,577.185,0.39573,0.49518,0.94946,0.79561,0.79067,0.80775,0.44299,1.50387,1.16629,2.31936,0.000296964,0.000296964,0.000296964
